"treatment","A","A+B","B"
"131+184",20,3,NA
"131+186",7,1,NA
"131+187",18,9,NA
"131+200",14,NA,NA
"156+184",9,7,1
"156+200",39,NA,NA
"184+2",1,NA,NA
"184+200",18,NA,NA
"186+131",NA,5,23
"186+156",NA,4,28
"186+184",NA,13,17
"186+187",11,6,4
"186+200",24,NA,NA
"186+4",NA,1,15
"187+156",NA,4,20
"187+184",1,5,4
"187+200",24,1,NA
"2+131",NA,NA,14
"2+156",NA,1,27
"2+184",NA,3,16
"2+186",NA,1,19
"2+187",NA,2,11
"2+200",16,8,NA
"2+4",NA,2,38
"4+131",NA,14,10
"4+156",7,36,14
"4+184",7,21,3
"4+187",24,1,NA
"4+200",27,NA,NA
"131+156",1,1,1
